Rk,G,Date,Tm,Opp,WL,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
25,23,2021-12-08,TOR,OKC,L (-1),1,38:53:00,8,17,0.471,2,7,0.286,0,0,,3,5,8,5,1,2,1,1,18,17.4,-8
26,24,2021-12-10,TOR,NYK,W (+3),1,41:16:00,6,12,0.5,0,1,0,0,0,,4,11,15,3,2,2,1,4,12,15,14
27,25,2021-12-13,TOR,SAC,W (+23),1,32:01:00,6,14,0.429,1,2,0.5,3,4,0.75,0,3,3,2,0,5,0,4,16,12.4,19
28,26,2021-12-14,TOR,BRK,L (-2),1,44:04:00,7,13,0.538,3,5,0.6,6,8,0.75,7,5,12,5,0,0,2,4,23,22.2,-7
29,27,2021-12-18,TOR,GSW,W (+19),1,32:47:00,8,12,0.667,0,2,0,5,7,0.714,4,4,8,6,0,0,1,3,21,21,26
30,,2021-12-26,TOR,CLE,L (-45),Inactive,,,,,,,,,,,,,,,,,,,,,
31,,2021-12-28,TOR,PHI,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
32,,2021-12-31,TOR,LAC,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
33,28,2022-01-02,TOR,NYK,W (+15),1,29:36:00,4,9,0.444,2,5,0.4,3,4,0.75,1,3,4,0,1,1,4,2,13,6.4,19
34,29,2022-01-04,TOR,SAS,W (+25),1,32:49:00,4,7,0.571,0,2,0,3,4,0.75,2,7,9,8,1,1,1,4,11,15.5,15
35,30,2022-01-05,TOR,MIL,W (+6),1,37:51:00,2,6,0.333,0,2,0,2,4,0.5,2,4,6,4,1,0,4,5,6,2.2,4
36,31,2022-01-07,TOR,UTA,W (+14),1,30:42:00,5,14,0.357,0,3,0,1,2,0.5,5,4,9,6,1,1,1,1,11,12,-1
37,32,2022-01-09,TOR,NOP,W (+4),1,33:19:00,3,10,0.3,1,3,0.333,0,0,,1,3,4,2,0,0,2,2,7,1.4,4
38,,2022-01-11,TOR,PHO,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
39,33,2022-01-14,TOR,DET,L (-16),1,33:04:00,4,13,0.308,0,4,0,0,0,,3,4,7,2,1,0,1,3,8,4,-8
40,,2022-01-15,TOR,MIL,W (+7),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
41,34,2022-01-17,TOR,MIA,L (-5),1,39:15:00,6,18,0.333,2,5,0.4,2,3,0.667,1,7,8,6,1,0,2,4,16,9.8,-5
42,35,2022-01-19,TOR,DAL,L (-4),1,28:21:00,4,9,0.444,1,3,0.333,2,2,1,2,3,5,0,1,1,0,5,11,8.3,-3
43,36,2022-01-21,TOR,WAS,W (+4),1,39:43:00,12,19,0.632,0,1,0,3,4,0.75,3,5,8,1,1,0,2,3,27,20.2,-5
44,37,2022-01-23,TOR,POR,L (-9),1,33:48:00,3,14,0.214,3,11,0.273,0,0,,2,4,6,6,1,2,2,1,9,7.2,-18
45,,2022-01-25,TOR,CHO,W (+12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
